iter	Passed	Remaining
0	0	90
1	1	84
2	2	93
3	3	93
4	5	99
5	6	102
6	7	104
7	9	106
8	10	108
9	12	110
10	13	110
11	15	111
12	16	111
13	18	114
14	20	116
15	21	115
16	23	113
17	24	112
18	25	110
19	26	107
20	28	105
21	29	104
22	30	102
23	32	101
24	33	99
25	34	97
26	35	96
27	36	94
28	37	92
29	38	90
30	40	89
31	41	87
32	42	86
33	43	84
34	44	83
35	46	82
36	47	80
37	48	79
38	50	78
39	51	77
40	52	76
41	53	73
42	54	72
43	56	71
44	57	70
45	58	68
46	59	67
47	61	66
48	62	64
49	63	63
50	64	61
51	65	60
52	66	58
53	67	57
54	67	55
55	68	53
56	69	52
57	70	50
58	71	49
59	72	48
60	72	46
61	73	45
62	74	43
63	75	42
64	76	41
65	77	39
66	77	38
67	78	37
68	79	35
69	80	34
70	81	33
71	82	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	105	1
99	106	0
